ROR ID,organisation name (from ROR),City (from ROR),standardised name for DiSSCo,Country (from ROR),Country code (from ROR)
0166x0j30,Natural History Museum Aarhus,Aarhus,Natural History Museum Aarhus,Denmark,DK
01aj84f44,Aarhus University,Aarhus,Aarhus University,Denmark,DK
04dkp9463,University of Amsterdam,Amsterdam,University of Amsterdam,Netherlands,NL
00ed5y156,Royal Zoological Society of Antwerp,Antwerp,Royal Zoological Society of Antwerp,Belgium,BE
032qvyh31,Goulandris Natural History Museum,Athens,"Goulandris Natural History Museum, Athens",Greece,GR
04gnjpq42,National and Kapodistrian University of Athens,Athens,National and Kapodistrian University of Athens,Greece,GR
03zga2b32,University of Bergen,Bergen,University of Bergen,Norway,NO
00bv4cx53,Botanic Garden and Botanical Museum Berlin,Berlin,Botanic Garden and Botanical Museum Berlin,Germany,DE
052d1a351,Museum für Naturkunde,Berlin,"Museum für Naturkunde, Berlin",Germany,DE
00wz4b049,Zoological Research Museum Alexander Koenig,Bonn,"Zoological Research Museum Alexander Koenig, Bonn",Germany,DE
00ayvpa66,Institute of Botany,Bratislava,"Institute of Botany, Bratislava",Slovakia,SK
0587ef340,Comenius University,Bratislava,"Comenius University, Bratislava",Slovakia,SK
02j46qs45,Masaryk University,Brno,"Masaryk University, Brno",Czechia,CZ
05bcgdd94,Institute of Vertebrate Biology,Brno,"Institute of Vertebrate Biology, Brno",Czechia,CZ
0058ctf29,Consortium of European Taxonomic Facilities,Brussels,"Consortium of European Taxonomic Facilities, Brussels",Belgium,BE
01r9htc13,Université Libre de Bruxelles,Brussels,"Université Libre de Bruxelles, Brussels",Belgium,BE
02y22ws83,Royal Belgian Institute of Natural Sciences,Brussels,"Royal Belgian Institute of Natural Sciences, Brussels",Belgium,BE
04y1zat75,Hungarian Natural History Museum,Budapest,"Hungarian Natural History Museum, Budapest",Hungary,HU
01pbz7c04,Mediterranean Agronomic Institute of Chania,Chania,Mediterranean Agronomic Institute of Chania,Greece,GR
01a8ajp46,University of Clermont Auvergne,Clermont-Ferrand,"University of Clermont Auvergne, Clermont-Ferrand",France,FR
04z8k9a98,University of Coimbra,Coimbra,University of Coimbra,Portugal,PT
035b05819,University of Copenhagen,Copenhagen,University of Copenhagen,Denmark,DK
01gntjh03,Royal Netherlands Institute for Sea Research,Den Burg,"Royal Netherlands Institute for Sea Research, Den Burg",Netherlands,NL
03k1bsr36,University of Burgundy,Dijon,"University of Burgundy, Dijon",France,FR
0349vqz63,Royal Botanic Garden Edinburgh,Edinburgh,Royal Botanic Garden Edinburgh,United Kingdom,GB
04jr1s763,University of Florence,Florence,University of Florence,Italy,IT
00xmqmx64,Senckenberg Society for Nature Research,Frankfurt am Main,"Senckenberg Society for Nature Research, Frankfurt am Main",Germany,DE
0488nj033,Natural History Museum Maastricht,Gemeente Maastricht,"Natural History Museum Maastricht, Gemeente Maastricht",Netherlands,NL
00j54wy13,Research Institute for Nature and Forest,Geraardsbergen,"Research Institute for Nature and Forest, Geraardsbergen",Belgium,BE
01tm6cn81,University of Gothenburg,Gothenburg,University of Gothenburg,Sweden,SE
035tz7392,Gothenburg Botanic Garden,Gothenburg,Gothenburg Botanic Garden,Sweden,SE
01yhex183,Gothenburg Natural History Museum,Gothenburg Municipality,"Gothenburg Natural History Museum, Gothenburg Municipality",Sweden,SE
01f0ym620,Teylers Museum,Haarlem,"Teylers Museum, Haarlem",Netherlands,NL
00g30e956,Universität Hamburg,Hamburg,Universität Hamburg,Germany,DE
03tcx6c30,Finnish Museum of Natural History,Helsinki,"Finnish Museum of Natural History, Helsinki",Finland,FI
05n3dz165,University of Jyväskylä,Jyvaskyla,"University of Jyväskylä, Jyvaskyla",Finland,FI
039965637,University of Pavol Jozef Šafárik,Košice,"University of Pavol Jozef Šafárik, Košice",Slovakia,SK
0566bfb96,Naturalis Biodiversity Center,Leiden,"Naturalis Biodiversity Center, Leiden",Netherlands,NL
02kzqn938,University of Lille,Lille,University of Lille,France,FR
01c27hj86,University of Lisbon,Lisbon,University of Lisbon,Portugal,PT
00ynnr806,"Royal Botanic Gardens, Kew",London,"Royal Botanic Gardens, Kew, London",United Kingdom,GB
039zvsn29,Natural History Museum,London,"Natural History Museum, London",United Kingdom,GB
048555y32,"Biological Museum, Lund University",Lund,"Biological Museum, Lund University",Sweden,SE
05natt857,Musée National d'Histoire Naturelle,Luxembourg,"Musée National d'Histoire Naturelle, Luxembourg",Luxembourg,LU
02p0gd045,Complutense University of Madrid,Madrid,Complutense University of Madrid,Spain,ES
02v6zg374,Museo Nacional de Ciencias Naturales,Madrid,"Museo Nacional de Ciencias Naturales, Madrid",Spain,ES
04cadha73,Instituto Geológico y Minero de España,Madrid,"Instituto Geológico y Minero de España, Madrid",Spain,ES
05q3vnk25,Institut de Recherche pour le Développement,Marseille,"Institut de Recherche pour le Développement, Marseille",France,FR
01h1jbk91,Meise Botanic Garden,Meise,Meise Botanic Garden,Belgium,BE
00gnrwz95,National Computer Center for Higher Education,Montpellier,"National Computer Center for Higher Education, Montpellier",France,FR
051escj72,University of Montpellier,Montpellier,University of Montpellier,France,FR
05th1v540,Bavarian Natural History Collections,Munich,"Bavarian Natural History Collections, Munich",Germany,DE
03d1maw17,University of Namur,Namur,University of Namur,Belgium,BE
04y2aw426,De Bastei,Nijmegen,"De Bastei, Nijmegen",Netherlands,NL
01xtthb56,University of Oslo,Oslo,University of Oslo,Norway,NO
0496vr396,Flanders Marine Institute,Ostend,"Flanders Marine Institute, Ostend",Belgium,BE
03yj89h83,University of Oulu,Oulu,University of Oulu,Finland,FI
02rxc7m23,University of Navarra,Pamplona,"University of Navarra, Pamplona",Spain,ES
02en5vm52,Sorbonne University,Paris,"Sorbonne University, Paris",France,FR
03wkt5x30,National Museum of Natural History,Paris,"National Museum of Natural History, Paris",France,FR
05kpkpg04,Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Paris,"Centre de Coopération Internationale en Recherche Agronomique pour le Développement, Paris",France,FR
017wvtq80,University of Patras,Pátrai,"University of Patras, Pátrai",Greece,GR
043pwc612,University of Porto,Porto,University of Porto,Portugal,PT
024d6js02,Charles University,Prague,"Charles University, Prague",Czechia,CZ
036ak4h42,Nature Conservation Agency of the Czech Republic,Prague,"Nature Conservation Agency of the Czech Republic, Prague",Czechia,CZ
04z6gwv56,Národní muzeum,Prague,"Národní muzeum, Prague",Czechia,CZ
03qqnc658,Institute of Botany,Průhonice,"Institute of Botany, Průhonice",Czechia,CZ
015m7wh34,University of Rennes 1,Rennes,University of Rennes 1,France,FR
00dr28g20,University of Crete,Rethymno,"University of Crete, Rethymno",Greece,GR
01s8f2180,Natural History Museum Rotterdam,Rotterdam,Natural History Museum Rotterdam,Netherlands,NL
03eywck07,Institute of Biodiversity and Ecosystem Research,Sofia,"Institute of Biodiversity and Ecosystem Research, Sofia",Bulgaria,BG
04a4v0j95,National Museum of Natural History,Sofia,"National Museum of Natural History, Sofia",Bulgaria,BG
05k323c76,Swedish Museum of Natural History,Stockholm,"Swedish Museum of Natural History, Stockholm",Sweden,SE
00pg6eq24,University of Strasbourg,Strasbourg,University of Strasbourg,France,FR
05k35b119,Staatliches Museum für Naturkunde Stuttgart,Stuttgart,Staatliches Museum für Naturkunde Stuttgart,Germany,DE
01pewsd85,Estonian Academy of Sciences,Tallinn,"Estonian Academy of Sciences, Tallinn",Estonia,EE
0443cwa12,Tallinn University of Technology,Tallinn,Tallinn University of Technology,Estonia,EE
00s67c790,Estonian University of Life Sciences,Tartu,"Estonian University of Life Sciences, Tartu",Estonia,EE
03z77qz90,University of Tartu,Tartu,University of Tartu,Estonia,EE
001805t51,Royal Museum for Central Africa,Tervuren,"Royal Museum for Central Africa, Tervuren",Belgium,BE
03scjwb12,Museon,The Hague,"Museon, The Hague",Netherlands,NL
02j61yw88,Aristotle University of Thessaloniki,Thessaloniki,Aristotle University of Thessaloniki,Greece,GR
04py0zz23,Natuurmuseum Brabant,Tilburg,"Natuurmuseum Brabant, Tilburg",Netherlands,NL
02v6kpv12,Paul Sabatier University,Toulouse,"Paul Sabatier University, Toulouse",France,FR
00wge5k78,UiT The Arctic University of Norway,Tromsø,"UiT The Arctic University of Norway, Tromsø",Norway,NO
05xg72x27,Norwegian University of Science and Technology,Trondheim,"Norwegian University of Science and Technology, Trondheim",Norway,NO
05vghhr25,University of Turku,Turku,University of Turku,Finland,FI
05kb8h459,Umeå University,Umeå,Umeå University,Sweden,SE
048a87296,Uppsala University,Uppsala,Uppsala University,Sweden,SE
030a5r161,Westerdijk Fungal Biodiversity Institute,Utrecht,"Westerdijk Fungal Biodiversity Institute, Utrecht",Netherlands,NL
058kzes98,University Museum Utrecht,Utrecht,University Museum Utrecht,Netherlands,NL
01tv5y993,Natural History Museum Vienna,Vienna,Natural History Museum Vienna,Austria,AT
029brtt94,Claude Bernard University Lyon 1,Villeurbanne,"Claude Bernard University Lyon 1, Villeurbanne",France,FR
00r9k8q20,Museum and Institute of Zoology,Warsaw,"Museum and Institute of Zoology, Warsaw",Poland,PL
039bjqg32,University of Warsaw,Warsaw,University of Warsaw,Poland,PL
00cv9y106,Ghent University,Ghent,Ghent University,Belgium,BE
03srysw20,The MuseumFactory,Enschede,"The MuseumFactory, Enschede",Netherlands,
015hz7p22,Natural Science Museum of Barcelona,Barcelona,Natural Science Museum of Barcelona,Spain,
043nxc105,University of Valencia,Valencia,University of Valencia,Spain,